year,round,date,start_time,attendance,home_team_score,away_team_score,rain_fall,home_team_id,away_team_id,name,stadium_id
2021,R18,2021-07-17,13:45,0,61,74,0.8,15,13,Docklands,50
2021,R18,2021-07-16,20:05,4119,106,86,0.4,14,2,Carrara,67
2021,R18,2021-07-15,18:10,35271,31,100,2.0,6,7,Perth Stadium,26
2021,R17,2021-07-12,17:40,30515,60,70,9.6,17,12,Perth Stadium,26
2021,R17,2021-07-11,16:10,29437,71,87,0.0,14,4,M.C.G.,24
2021,R17,2021-07-11,15:20,24817,60,79,0.0,18,16,Docklands,50
2021,R17,2021-07-11,12:40,2952,64,65,0.2,9,8,Eureka Stadium,131
2021,R17,2021-07-10,19:25,9075,63,95,1.6,2,15,Carrara,67
2021,R17,2021-07-10,16:35,31834,44,70,0.0,3,7,M.C.G.,24
2021,R17,2021-07-10,13:45,9111,46,108,0.0,10,6,York Park,152
2021,R17,2021-07-09,19:50,23604,84,21,0.0,5,1,Docklands,50
2021,R17,2021-07-08,19:10,30908,55,86,0.0,13,11,Adelaide Oval,27
2021,R16,2021-07-04,16:40,18216,108,79,0.4,18,12,Docklands,50
2021,R16,2021-07-04,15:20,18082,61,70,0.4,4,15,M.C.G.,24
2021,R16,2021-07-04,13:10,9520,118,26,1.0,16,17,Kardinia Park,160
2021,R16,2021-07-03,19:40,18251,53,87,7.0,10,13,Docklands,50
2021,R16,2021-07-03,19:40,12103,64,80,7.0,6,3,M.C.G.,24
2021,R16,2021-07-03,16:05,16178,59,111,6.6,1,2,Adelaide Oval,27
2021,R16,2021-07-03,13:45,16963,55,64,7.0,11,9,M.C.G.,24
2021,R16,2021-07-02,19:50,15579,98,57,0.6,7,5,Kardinia Park,160
2021,R16,2021-07-01,19:20,9327,77,67,0.0,8,14,Docklands,50
2021,R15,2021-06-27,16:10,14930,83,73,0.2,3,1,Docklands,50
2021,R15,2021-06-27,13:20,0,43,98,0.0,17,18,Perth Stadium,26
2021,R15,2021-06-27,13:10,9897,72,90,0.2,9,10,M.C.G.,24
2021,R15,2021-06-26,19:25,19414,57,68,4.3,5,11,M.C.G.,24
2021,R15,2021-06-26,16:05,29631,81,71,2.2,13,16,Adelaide Oval,27
2021,R15,2021-06-26,13:45,6719,72,63,0.0,12,8,Bellerive Oval,44
2021,R15,2021-06-26,13:45,11570,79,91,4.3,4,6,Docklands,50
2021,R15,2021-06-25,19:50,14787,22,62,0.0,14,15,M.C.G.,24
2021,R15,2021-06-24,19:30,29024,94,50,0.8,2,7,Gabba,166
2021,R14,2021-06-20,15:20,14834,73,86,0.0,10,5,York Park,152
2021,R14,2021-06-19,19:25,7035,102,66,2.4,9,3,Sydney Showground,73
2021,R14,2021-06-19,16:35,5060,45,68,0.6,12,2,Bellerive Oval,44
2021,R14,2021-06-19,13:45,7117,31,81,0.0,8,13,Carrara,67
2021,R14,2021-06-18,19:50,6583,83,78,0.0,7,18,Kardinia Park,160
2021,R13,2021-06-14,15:20,16453,63,80,0.0,11,4,S.C.G.,68
2021,R13,2021-06-13,17:20,50834,85,81,0.0,17,14,Perth Stadium,26
2021,R13,2021-06-13,15:20,3462,94,94,3.4,12,9,Bellerive Oval,44
2021,R13,2021-06-12,19:25,5969,60,66,,15,1,Cazaly's Stadium,75
2021,R13,2021-06-12,14:15,27318,76,49,0.2,6,8,Perth Stadium,26
2021,R13,2021-06-11,19:50,25904,51,89,5.6,16,10,S.C.G.,68
2021,R13,2021-06-10,19:10,28718,91,112,0.0,13,7,Adelaide Oval,27
2021,R12,2021-06-06,16:40,32875,65,93,0.0,6,18,Perth Stadium,26
2021,R12,2021-06-06,15:20,5137,73,95,0.0,3,17,S.C.G.,68
2021,R12,2021-06-05,17:40,55656,84,123,0.0,5,14,Perth Stadium,26
2021,R12,2021-06-05,16:05,30446,73,78,0.2,1,4,Adelaide Oval,27
2021,R12,2021-06-05,13:45,19020,92,83,0.2,16,15,S.C.G.,68
2021,R12,2021-06-04,19:50,3772,97,75,7.0,11,2,Sydney Showground,73
2021,R11,2021-05-30,16:50,26759,115,69,0.0,13,6,Adelaide Oval,27
2021,R11,2021-05-30,15:20,29882,100,78,0.2,16,3,S.C.G.,68
2021,R11,2021-05-30,14:10,4236,111,83,0.0,14,1,Sydney Showground,73
2021,R11,2021-05-29,19:40,1241,113,76,0.0,8,10,S.C.G.,68
2021,R11,2021-05-29,17:40,41883,71,87,11.4,17,5,Perth Stadium,26
2021,R11,2021-05-29,16:35,0,88,68,0.0,15,12,Docklands,50
2021,R11,2021-05-29,14:10,22038,129,65,0.0,2,9,Gabba,166
2021,R11,2021-05-29,13:45,0,51,61,0.0,4,7,M.C.G.,24
2021,R11,2021-05-28,19:50,0,59,87,0.4,18,11,Docklands,50
2021,R1,2021-03-21,15:10,38493,83,58,0.0,17,8,Perth Stadium,26
2021,R1,2021-03-21,15:20,5014,78,86,114.4,9,15,Sydney Showground,73
2021,R1,2021-03-21,13:10,13050,65,117,3.2,12,13,Docklands,50
2021,R1,2021-03-20,18:45,22762,94,125,20.8,2,16,Gabba,166
2021,R1,2021-03-20,19:25,25128,91,92,0.0,5,10,Docklands,50
2021,R1,2021-03-20,16:05,26985,103,91,0.0,1,7,Adelaide Oval,27
2021,R1,2021-03-20,13:45,21365,80,58,0.0,11,6,M.C.G.,24
2021,R1,2021-03-19,19:50,46051,53,69,0.0,4,18,M.C.G.,24
2021,R1,2021-03-18,19:25,49218,105,80,0.0,14,3,M.C.G.,24
2021,R10,2021-05-23,16:40,33121,141,69,0.0,5,12,Docklands,50
2021,R10,2021-05-23,15:20,23415,58,59,0.0,4,13,M.C.G.,24
2021,R10,2021-05-23,13:10,9046,93,77,0.0,9,17,Sydney Showground,73
2021,R10,2021-05-22,17:40,29134,86,84,0.0,6,16,Perth Stadium,26
2021,R10,2021-05-22,19:25,28720,144,33,0.0,18,15,Docklands,50
2021,R10,2021-05-22,16:05,31373,96,95,0.0,1,11,Adelaide Oval,27
2021,R10,2021-05-22,14:10,22055,91,57,0.0,7,8,Kardinia Park,160
2021,R10,2021-05-22,13:45,45741,86,63,0.0,3,10,M.C.G.,24
2021,R10,2021-05-21,19:50,31127,102,74,0.0,2,14,Gabba,166
2021,QF,2021-08-28,19:00,13784,93,60,0.0,11,2,Adelaide Oval,27
2021,QF,2021-08-27,19:20,19712,86,43,0.0,13,7,Adelaide Oval,27
2021,PF,2021-09-11,19:10,26400,45,116,0.0,13,18,Adelaide Oval,27
2021,PF,2021-09-10,17:50,58599,125,42,3.2,11,7,Perth Stadium,26
2021,GF,2021-09-25,17:15,61118,140,66,0.0,11,18,Perth Stadium,26
2021,EF,2021-08-29,15:20,9760,85,36,0.0,18,5,York Park,152
2021,EF,2021-08-28,15:20,8635,73,74,0.0,16,9,York Park,152
2020,SF,2020-10-10,18:40,21396,100,32,0.0,7,4,Gabba,166
2020,SF,2020-10-09,18:50,13778,80,49,0.0,14,15,Carrara,67
2020,R9,2020-08-02,16:10,20912,61,49,0.0,6,4,Perth Stadium,26
2020,R9,2020-08-02,15:35,4363,35,61,0.0,8,9,Carrara,67
2020,R9,2020-08-01,18:10,26211,73,64,0.0,17,7,Perth Stadium,26
2020,R9,2020-08-01,17:10,2978,101,48,0.0,15,16,Gabba,166
2020,R9,2020-08-01,14:35,522,119,50,0.0,12,1,Carrara,67
2020,R9,2020-07-31,20:10,4860,28,91,0.0,5,2,Carrara,67
2020,R9,2020-07-31,15:40,12304,58,89,0.0,3,10,Perth Stadium,26
2020,R9,2020-07-30,19:50,323,32,83,0.0,11,13,Gabba,166
