year,player_id,rebounds,inside_50s,clearances,contested_possessions,team_id
2021,2014676336,2,3,6,15,3
2021,2005667052,0,2,0,2,3
2021,2005667052,0,1,0,3,3
2021,2005667052,0,0,0,3,3
2021,2012656391,0,3,8,9,4
2021,2012656391,1,2,5,5,4
2021,2017661572,0,2,2,7,4
2021,2017661572,0,0,0,5,4
2021,2017661572,0,0,1,3,4
2021,2017661572,0,0,0,2,4
2021,2017661572,0,1,0,3,4
2021,2012656391,0,2,8,16,4
2021,2021663611,1,5,1,5,4
2021,2021663611,0,1,1,2,4
2021,2012656391,2,9,7,15,4
2021,2012656391,0,6,4,17,4
2021,2012656391,0,6,11,18,4
2021,2012656391,1,3,3,6,4
2021,2012656391,1,4,8,14,4
2021,2012656391,5,3,6,10,4
2021,2012656391,3,4,10,15,4
2021,2020677029,4,1,0,5,5
2021,2020677029,0,1,1,1,5
2021,2021674111,1,2,2,5,5
2021,2021674111,4,1,1,5,5
2021,2021674111,1,0,0,2,5
2021,2021674111,0,1,0,4,5
2021,2021674111,1,2,0,3,5
2021,2021674111,0,2,0,3,5
2021,2014655392,0,0,0,4,5
2021,2020677029,0,0,0,5,5
2021,2021674111,0,1,0,1,5
2021,2021674111,2,0,0,4,5
2021,2021674111,0,5,3,5,5
2021,2021674111,0,3,1,10,5
2021,2018673109,0,3,2,5,5
2021,2018673109,1,5,3,7,5
2021,2018673109,1,3,3,6,5
2021,2019677166,0,6,1,6,5
2021,2014651814,2,2,1,3,6
2021,2014651814,3,3,1,7,6
2021,2014651814,3,5,2,5,6
2021,2014651814,1,7,1,6,6
2021,2014651814,3,3,1,10,6
2021,2014651814,3,1,1,6,6
2021,2014651814,0,4,1,6,6
2021,2014651814,2,3,3,10,6
2021,2014651814,1,3,4,8,6
2021,2014651814,4,3,0,4,6
2021,2014651814,0,1,1,4,6
2021,2014659159,2,1,0,2,6
2021,2014659159,4,3,5,7,6
2021,2014659159,4,1,3,5,6
2021,2014651814,1,6,2,6,6
2021,2020653600,1,1,3,6,8
2021,2017651121,1,2,1,5,8
2021,2017651121,2,5,0,2,8
2021,2017651121,0,4,1,4,8
2021,2017651121,0,3,0,4,8
2021,2020653600,1,4,4,7,8
2021,2020653600,2,2,5,5,8
2021,2020653600,5,4,5,10,8
2021,2017651121,0,4,0,5,8
2021,2017651121,0,7,2,8,8
2021,2017651121,0,2,0,6,8
2021,2017651121,0,2,0,1,8
2021,2017651121,1,2,1,5,8
2021,2017651121,0,6,1,10,8
2021,2019659412,2,1,2,8,7
2021,2019659412,2,2,3,10,7
2021,2019659412,4,1,2,7,7
2021,2019659412,3,2,1,8,7
2021,2019659412,4,1,2,10,7
2021,2019659412,2,1,0,6,7
2021,2019659412,3,1,2,9,7
2021,2019659412,0,3,0,3,7
2021,2019659412,2,1,0,6,7
2021,2019659412,1,2,0,4,7
2021,2014668825,2,2,0,3,7
2021,2014668825,4,2,1,7,7
2021,2014668825,1,0,1,4,7
2021,2019659412,3,1,1,5,7
2021,2019659412,1,0,1,5,7
2021,2019659412,2,0,0,5,7
2021,2019659412,1,5,2,5,7
2021,2020651147,5,5,0,7,9
2021,2020651147,5,2,1,5,9
2021,2020651147,7,0,0,2,9
2021,2020651147,7,0,1,4,9
2021,2020651147,1,2,2,6,9
2021,2020651147,3,0,1,2,9
2021,2020651147,4,1,0,0,9
