"index","game_id","year","round","date","start_time","attendance","home_team_score","away_team_score","rain_fall","home_team_id","away_team_id","name","stadium_id"
87,"2021R1007",2021,"R10","2021-05-23 00:00:00","13:10",9046,93,77,0,9,17,"Sydney Showground",28
88,"2021R1008",2021,"R10","2021-05-23 00:00:00","15:20",23415,58,59,0,4,13,"M.C.G.",63
89,"2021R1009",2021,"R10","2021-05-23 00:00:00","16:40",33121,141,69,0,5,12,"Docklands",107
90,"2021R1101",2021,"R11","2021-05-28 00:00:00","19:50",0,59,87,0.4,18,11,"Docklands",107
91,"2021R1102",2021,"R11","2021-05-29 00:00:00","13:45",0,51,61,0,4,8,"M.C.G.",63
92,"2021R1103",2021,"R11","2021-05-29 00:00:00","14:10",22038,129,65,0,2,9,"Gabba",56
93,"2021R1104",2021,"R11","2021-05-29 00:00:00","16:35",0,88,68,0,15,12,"Docklands",107
94,"2021R1105",2021,"R11","2021-05-29 00:00:00","17:40",41883,71,87,11.4,17,5,"Perth Stadium",147
95,"2021R1106",2021,"R11","2021-05-29 00:00:00","19:40",1241,113,76,0,7,10,"S.C.G.",42
96,"2021R1107",2021,"R11","2021-05-30 00:00:00","14:10",4236,111,83,0,14,1,"Sydney Showground",28
97,"2021R1108",2021,"R11","2021-05-30 00:00:00","15:20",29882,100,78,0.2,16,3,"S.C.G.",42
98,"2021R1109",2021,"R11","2021-05-30 00:00:00","16:50",26759,115,69,0,13,6,"Adelaide Oval",47
99,"2021R1201",2021,"R12","2021-06-04 00:00:00","19:50",3772,97,75,7,11,2,"Sydney Showground",28
100,"2021R1202",2021,"R12","2021-06-05 00:00:00","13:45",19020,92,83,0.2,16,15,"S.C.G.",42
101,"2021R1203",2021,"R12","2021-06-05 00:00:00","16:05",30446,73,78,0.2,1,4,"Adelaide Oval",47
102,"2021R1204",2021,"R12","2021-06-05 00:00:00","17:40",55656,84,123,0,5,14,"Perth Stadium",147
103,"2021R1205",2021,"R12","2021-06-06 00:00:00","15:20",5137,73,95,0,3,17,"S.C.G.",42
104,"2021R1206",2021,"R12","2021-06-06 00:00:00","16:40",32875,65,93,0,6,18,"Perth Stadium",147
105,"2021R1301",2021,"R13","2021-06-10 00:00:00","19:10",28718,91,112,0,13,8,"Adelaide Oval",47
106,"2021R1302",2021,"R13","2021-06-11 00:00:00","19:50",25904,51,89,5.6,16,10,"S.C.G.",42
107,"2021R1303",2021,"R13","2021-06-12 00:00:00","14:15",27318,76,49,0.2,6,7,"Perth Stadium",147
108,"2021R1304",2021,"R13","2021-06-12 00:00:00","19:25",5969,60,66,NULL,15,1,"Cazaly's Stadium",113
109,"2021R1305",2021,"R13","2021-06-13 00:00:00","15:20",3462,94,94,3.4,12,9,"Bellerive Oval",116
110,"2021R1306",2021,"R13","2021-06-13 00:00:00","17:20",50834,85,81,0,17,14,"Perth Stadium",147
111,"2021R1307",2021,"R13","2021-06-14 00:00:00","15:20",16453,63,80,0,11,4,"S.C.G.",42
112,"2021R1401",2021,"R14","2021-06-18 00:00:00","19:50",6583,83,78,0,8,18,"Kardinia Park",154
113,"2021R1402",2021,"R14","2021-06-19 00:00:00","13:45",7117,31,81,0,7,13,"Carrara",80
114,"2021R1403",2021,"R14","2021-06-19 00:00:00","16:35",5060,45,68,0.6,12,2,"Bellerive Oval",116
115,"2021R1404",2021,"R14","2021-06-19 00:00:00","19:25",7035,102,66,2.4,9,3,"Sydney Showground",28
116,"2021R1405",2021,"R14","2021-06-20 00:00:00","15:20",14834,73,86,0,10,5,"York Park",163
117,"2021R1501",2021,"R15","2021-06-24 00:00:00","19:30",29024,94,50,0.8,2,8,"Gabba",56
118,"2021R1502",2021,"R15","2021-06-25 00:00:00","19:50",14787,22,62,0,14,15,"M.C.G.",63
119,"2021R1503",2021,"R15","2021-06-26 00:00:00","13:45",11570,79,91,4.3,4,6,"Docklands",107
120,"2021R1504",2021,"R15","2021-06-26 00:00:00","13:45",6719,72,63,0,12,7,"Bellerive Oval",116
121,"2021R1505",2021,"R15","2021-06-26 00:00:00","16:05",29631,81,71,2.2,13,16,"Adelaide Oval",47
122,"2021R1506",2021,"R15","2021-06-26 00:00:00","19:25",19414,57,68,4.3,5,11,"M.C.G.",63
123,"2021R1507",2021,"R15","2021-06-27 00:00:00","13:10",9897,72,90,0.2,9,10,"M.C.G.",63
124,"2021R1508",2021,"R15","2021-06-27 00:00:00","13:20",0,43,98,0,17,18,"Perth Stadium",147
125,"2021R1509",2021,"R15","2021-06-27 00:00:00","16:10",14930,83,73,0.2,3,1,"Docklands",107
126,"2021R1601",2021,"R16","2021-07-01 00:00:00","19:20",9327,77,67,0,7,14,"Docklands",107
127,"2021R1602",2021,"R16","2021-07-02 00:00:00","19:50",15579,98,57,0.6,8,5,"Kardinia Park",154
128,"2021R1603",2021,"R16","2021-07-03 00:00:00","13:45",16963,55,64,7,11,9,"M.C.G.",63
129,"2021R1604",2021,"R16","2021-07-03 00:00:00","16:05",16178,59,111,6.6,1,2,"Adelaide Oval",47
130,"2021R1605",2021,"R16","2021-07-03 00:00:00","19:40",12103,64,80,7,6,3,"M.C.G.",63
131,"2021R1606",2021,"R16","2021-07-03 00:00:00","19:40",18251,53,87,7,10,13,"Docklands",107
132,"2021R1607",2021,"R16","2021-07-04 00:00:00","13:10",9520,118,26,1,16,17,"Kardinia Park",154
133,"2021R1608",2021,"R16","2021-07-04 00:00:00","15:20",18082,61,70,0.4,4,15,"M.C.G.",63
134,"2021R1609",2021,"R16","2021-07-04 00:00:00","16:40",18216,108,79,0.4,18,12,"Docklands",107
135,"2021R1701",2021,"R17","2021-07-08 00:00:00","19:10",30908,55,86,0,13,11,"Adelaide Oval",47
136,"2021R1702",2021,"R17","2021-07-09 00:00:00","19:50",23604,84,21,0,5,1,"Docklands",107
137,"2021R1703",2021,"R17","2021-07-10 00:00:00","13:45",9111,46,108,0,10,6,"York Park",163
138,"2021R1704",2021,"R17","2021-07-10 00:00:00","16:35",31834,44,70,0,3,8,"M.C.G.",63
139,"2021R1705",2021,"R17","2021-07-10 00:00:00","19:25",9075,63,95,1.6,2,15,"Carrara",80
140,"2021R1706",2021,"R17","2021-07-11 00:00:00","12:40",2952,64,65,0.2,9,7,"Eureka Stadium",46
141,"2021R1707",2021,"R17","2021-07-11 00:00:00","15:20",24817,60,79,0,18,16,"Docklands",107
142,"2021R1708",2021,"R17","2021-07-11 00:00:00","16:10",29437,71,87,0,14,4,"M.C.G.",63
143,"2021R1709",2021,"R17","2021-07-12 00:00:00","17:40",30515,60,70,9.6,17,12,"Perth Stadium",147
144,"2021R1801",2021,"R18","2021-07-15 00:00:00","18:10",35271,31,100,2,6,8,"Perth Stadium",147
145,"2021R1802",2021,"R18","2021-07-16 00:00:00","20:05",4119,106,86,0.4,14,2,"Carrara",80
146,"2021R1803",2021,"R18","2021-07-17 00:00:00","13:45",0,61,74,0.8,15,13,"Docklands",107
147,"2021R1804",2021,"R18","2021-07-17 00:00:00","16:35",8244,79,90,0.4,7,18,"Carrara",80
148,"2021R1805",2021,"R18","2021-07-17 00:00:00","19:25",0,79,79,0.8,11,10,"M.C.G.",63
149,"2021R1806",2021,"R18","2021-07-18 00:00:00","12:35",5114,74,92,0,12,5,"Carrara",80
150,"2021R1807",2021,"R18","2021-07-18 00:00:00","15:20",0,62,91,4.4,4,3,"M.C.G.",63
151,"2021R1808",2021,"R18","2021-07-18 00:00:00","16:10",24554,56,98,0.8,1,17,"Adelaide Oval",47
152,"2021R1809",2021,"R18","2021-07-18 00:00:00","18:10",2374,72,98,0,9,16,"Carrara",80
153,"2021R1901",2021,"R19","2021-07-23 00:00:00","19:10",0,97,69,0,13,4,"Docklands",107
154,"2021R1902",2021,"R19","2021-07-24 00:00:00","13:45",0,77,116,0,3,12,"Docklands",107
155,"2021R1903",2021,"R19","2021-07-24 00:00:00","15:10",16660,120,71,4.2,2,7,"Gabba",56
156,"2021R1904",2021,"R19","2021-07-24 00:00:00","14:35",43657,94,86,2,17,15,"Perth Stadium",147
157,"2021R1905",2021,"R19","2021-07-24 00:00:00","19:25",0,65,85,0,11,18,"M.C.G.",63
158,"2021R1906",2021,"R19","2021-07-24 00:00:00","19:40",0,102,83,0,1,10,"Docklands",107
159,"2021R1907",2021,"R19","2021-07-25 00:00:00","12:30",2875,98,58,0,16,6,"Carrara",80
