gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R2103,2021,R21,7-Aug-21,M.C.G.,4:35 PM,0,Richmond,89,North Melbourne,56,0.6
2021R2102,2021,R21,7-Aug-21,Docklands,1:45 PM,0,Carlton,57,Gold Coast,76,0.6
2021R2101,2021,R21,6-Aug-21,Kardinia Park,7:50 PM,0,Geelong,65,Greater Western Sydney,84,0.2
2021R209,2021,R2,28-Mar-21,Perth Stadium,3:10 PM,27625,Fremantle,87,Greater Western Sydney,56,0
2021R208,2021,R2,28-Mar-21,Docklands,3:20 PM,21391,Western Bulldogs,100,West Coast,93,0.1
2021R207,2021,R2,28-Mar-21,M.C.G.,1:10 PM,41051,Hawthorn,49,Richmond,78,0.1
2021R206,2021,R2,27-Mar-21,Carrara,7:10 PM,6661,Gold Coast,98,North Melbourne,39,0
2021R205,2021,R2,27-Mar-21,Docklands,7:25 PM,25903,St Kilda,73,Melbourne,91,4.2
2021R204,2021,R2,27-Mar-21,Adelaide Oval,4:05 PM,29978,Port Adelaide,119,Essendon,65,3.8
2021R203,2021,R2,27-Mar-21,S.C.G.,1:45 PM,23946,Sydney,121,Adelaide,88,0
2021R202,2021,R2,26-Mar-21,Kardinia Park,7:50 PM,20070,Geelong,81,Brisbane Lions,80,0.4
2021R201,2021,R2,25-Mar-21,M.C.G.,7:20 PM,51723,Carlton,85,Collingwood,106,3.8
2021R2009,2021,R20,1-Aug-21,Docklands,6:10 PM,0,Greater Western Sydney,73,Port Adelaide,100,19.2
2021R2008,2021,R20,1-Aug-21,Perth Stadium,3:10 PM,24979,Fremantle,55,Richmond,51,8.8
2021R2007,2021,R20,1-Aug-21,M.C.G.,3:10 PM,0,Essendon,102,Sydney,109,19.2
2021R2006,2021,R20,1-Aug-21,York Park,2:10 PM,5381,Hawthorn,92,Brisbane Lions,80,13
2021R2005,2021,R20,1-Aug-21,Docklands,12:10 PM,0,Gold Coast,30,Melbourne,128,19.2
2021R2004,2021,R20,31-Jul-21,M.C.G.,4:15 PM,0,Collingwood,90,West Coast,45,0
2021R2003,2021,R20,31-Jul-21,Bellerive Oval,1:15 PM,8033,North Melbourne,42,Geelong,62,0.4
2021R2002,2021,R20,31-Jul-21,Eureka Stadium,12:20 PM,0,Western Bulldogs,105,Adelaide,56,0.2
2021R2001,2021,R20,30-Jul-21,Docklands,7:50 PM,0,St Kilda,81,Carlton,112,0
2021R1909,2021,R19,25-Jul-21,Carrara,6:10 PM,2681,Essendon,53,Greater Western Sydney,66,0
2021R1908,2021,R19,25-Jul-21,M.C.G.,3:20 PM,0,Geelong,95,Richmond,57,0
2021R1907,2021,R19,25-Jul-21,Carrara,12:30 PM,2875,Sydney,98,Fremantle,58,0
2021R1906,2021,R19,24-Jul-21,Docklands,7:40 PM,0,Adelaide,102,Hawthorn,83,0
2021R1905,2021,R19,24-Jul-21,M.C.G.,7:25 PM,0,Melbourne,65,Western Bulldogs,85,0
2021R1904,2021,R19,24-Jul-21,Perth Stadium,2:35 PM,43657,West Coast,94,St Kilda,86,2
